"","datesnames","response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper"
"1","2020-02-24","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-26","0.682170121928794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-28","0.673079617509136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-01","0.645876132219829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-03","0.389997815814857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-05","0.433058502438818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-07","0.421917921398782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-09","0.444088529113341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-11","0.306528649126371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-13","0.348618181053784","0.348618181053784","0.327259947144595","0.230881074261489","0.410490817228573","0.348618181053784","0.348618181053784","0.348618181053784","0.0213582339091885","-0.0618726361747894","0.117737106792295","0","0","0"
"11","2020-03-15","0.337402074370891","0.686020255424674","0.31344359555582","0.219926476083325","0.397101886610511","0.686020255424674","0.686020255424674","0.686020255424674","0.0239584788150712","-0.05969981223962","0.117475598287566","0","0","0"
"12","2020-03-17","0.241473734337074","0.927493989761748","0.283335242070374","0.201459839528148","0.382289235397799","0.927493989761748","0.927493989761748","0.927493989761748","-0.0418615077333003","-0.140815501060725","0.0400138948089256","0","0","0"
"13","2020-03-19","0.264247357197897","1.19174134695965","0.278986515075611","0.193054557585663","0.385148893310368","1.19174134695965","1.19174134695965","1.19174134695965","-0.0147391578777141","-0.120901536112471","0.0711927996122345","0","0","0"
"14","2020-03-21","0.266713174977149","1.45845452193679","0.279181170884743","0.184107270424077","0.385454446309348","1.47092251784439","1.37584861738372","1.57719579326899","-0.0124679959075942","-0.1187412713322","0.0826059045530715","-0.0124679959075942","-0.1187412713322","0.0826059045530714"
"15","2020-03-23","0.176603271293068","1.63505779322986","0.278911690551328","0.171216654816482","0.396067247338765","1.74983420839572","1.58537044430031","1.9349778142069","-0.10230841925826","-0.219463976045697","0.00538661647658656","-0.114776415165854","-0.299920020977034","0.04968734892955"
"16","2020-03-25","0.151525944737564","1.78658373796743","0.278997959646387","0.162031852184028","0.399158080532464","2.0288321680421","1.78186951874887","2.29840802255862","-0.127472014908823","-0.2476321357949","-0.010505907446464","-0.242248430074677","-0.511824284591192","0.00471421921855786"
"17","2020-03-27","0.150853540193792","1.93743727816122","0.279407906722394","0.157768640697421","0.409292367800737","2.3082400747645","1.9684769847565","2.66773463479964","-0.128554366528603","-0.258438827606945","-0.00691510050362931","-0.37080279660328","-0.730297356638426","-0.0310397065952812"
"18","2020-03-29","0.121667670866932","2.05910494902815","0.279562674003906","0.148211642783738","0.415469420222386","2.5878027487684","2.15182547254227","3.03907117895562",NA,NA,NA,NA,NA,NA
"19","2020-03-31","0.07968593904838","2.13879088807653","0.279174290887115","0.140158251828903","0.424573755369915","2.86697703965552","2.33071778301339","3.41759116870288",NA,NA,NA,NA,NA,NA
"20","2020-04-02","0.0855593629522104","2.22435025102874","0.279397739299397","0.134984622433567","0.425775226161106","3.14637477895492","2.51019601877113","3.80968247281582",NA,NA,NA,NA,NA,NA
"21","2020-04-04","0.0783311300593574","2.3026813810881","0.279390245403812","0.1244181557489","0.433630111629213","3.42576502435873","2.6776038007623","4.21987842429422",NA,NA,NA,NA,NA,NA
"22","2020-04-06","0.0615719043000862","2.36425328538818","0.279239273838467","0.116006913461377","0.442347312488679","3.70500429819719","2.8301841906116","4.6082632937489",NA,NA,NA,NA,NA,NA
"23","2020-04-08","0.0505680055893176","2.4148212909775","0.279310282400858","0.108623852603871","0.449465472958732","3.98431458059805","2.98290354893315","5.02261585703308",NA,NA,NA,NA,NA,NA
