"","datesnames","response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper"
"1","2020-03-12","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-14","1.3385629582987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-16","0.207917103982918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-18","0.193093653775866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-20","0.292136422801161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-22","0.330102788335733","0.330102788335733","0.29168252827694","0.176347667949208","0.37593693133897","0.330102788335733","0.330102788335733","0.330102788335733","0.0384202600587927","-0.0458341430032375","0.153755120386525","0","0","0"
"7","2020-03-24","0.235211020714328","0.56531380905006","0.247621003581222","0.154539999728283","0.346041574658473","0.56531380905006","0.56531380905006","0.56531380905006","-0.0124099828668942","-0.110830553944146","0.0806710209860451","0","0","0"
"8","2020-03-26","0.190286386156434","0.755600195206495","0.219022965868347","0.133891947154975","0.339336956957534","0.755600195206495","0.755600195206495","0.755600195206495","-0.0287365797119123","-0.149050570801099","0.0563944390014589","0","0","0"
"9","2020-03-28","0.197343854315696","0.95294404952219","0.213286295057273","0.123703650311869","0.331700125018608","0.95294404952219","0.95294404952219","0.95294404952219","-0.0159424407415771","-0.134356270702912","0.0736402040038263","0","0","0"
"10","2020-03-30","0.147148624316354","1.10009267383854","0.213021996633729","0.104287776953798","0.342939597466006","1.16596604615592","1.05723182647599","1.2958836469882","-0.0658733723173749","-0.195790973149652","0.0428608473625562","-0.065873372317375","-0.195790973149652","0.0428608473625562"
"11","2020-04-01","0.0672161461158005","1.16730881995434","0.212659217806355","0.0889105590808273","0.348733757774711","1.37862526396227","1.18644819467374","1.60365730042877","-0.145443071690554","-0.28151761165891","-0.0216944129650268","-0.211316444007929","-0.436348480474424","-0.019139374719392"
"12","2020-04-03","0.110533832938047","1.27784265289239","0.212302976669671","0.0788273636074296","0.358324627636871","1.59092824063195","1.30164397142464","1.91645405914002","-0.101769143731625","-0.247790794698824","0.0317064693306172","-0.313085587739554","-0.638611406247624","-0.0238013185322477"
"13","2020-04-05","0.176629432757609","1.45447208565","0.211803557372703","0.0677725452962727","0.36873327766079","1.80273179800465","1.40512100004773","2.24358416907414","-0.0351741246150939","-0.192103844903181","0.108856887461337","-0.348259712354648","-0.789112083424138","0.0493510856022679"
"14","2020-04-07","0.180416959213624","1.63488904486363","0.212256731848416","0.0531823323779579","0.370353678981744","2.01498852985306","1.50208616706137","2.58183597261534",NA,NA,NA,NA,NA,NA
